Index,Name,X-pos,Y-pos,Z-pos 
1,"pt0",0.0,0.0,0.0
2,"pt1",1.5,0.0,0.0
3,"pt2",-0.175,1.55,0.15
4,"pt3",0.0,0.15,0.0
5,"pt4",0.1125,0.3,0.0
6,"pt5",0.25,0.25,0.0
7,"pt6",0.7,0.1,0.0
8,"pt7",1.05,0.15,0.0
9,"pt8",1.3,0.25,0.0
10,"pt9",1.475,0.15,0.0
11,"pt10",1.5,0.15,0.0
12,"pt11",1.425,0.275,0.0
13,"pt12",1.25,0.35,0.0
14,"pt13",0.875,0.25,0.0
15,"pt14",0.0,0.15,0.0
16,"pt15",0.0,0.925,0.0
17,"pt16",-0.075,1.375,0.0
18,"pt17",0.0,0.15,0.0
19,"pt18",-0.1,0.975,0.0
20,"pt19",-0.125,1.375,0.0
